Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Login_TS_2,Chrome 121.0.0.0,,,24-01-2024 19:43:07,24-01-2024 19:43:54,47.224s,PASSED
,,,,,,,
Test Cases/TC_Amazon_Login_002,Chrome 121.0.0.0,,,24-01-2024 19:43:07,24-01-2024 19:43:32,24.976s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,24-01-2024 19:43:08,24-01-2024 19:43:11,2.592s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,24-01-2024 19:43:11,24-01-2024 19:43:20,9.858s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_data_DrivenTest_OR/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Chrome 121.0.0.0,,,24-01-2024 19:43:20,24-01-2024 19:43:26,5.982s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Login_data_DrivenTest_OR/Page_Amazon Sign-In/input_email""), Email)",Chrome 121.0.0.0,,,24-01-2024 19:43:26,24-01-2024 19:43:28,1.234s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_data_DrivenTest_OR/Page_Amazon Sign-In/inputcontinue""))",Chrome 121.0.0.0,,,24-01-2024 19:43:28,24-01-2024 19:43:31,3.019s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_Login_data_DrivenTest_OR/Page_Amazon Sign-In/input_password""), Password)",Chrome 121.0.0.0,,,24-01-2024 19:43:31,24-01-2024 19:43:32,0.840s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_data_DrivenTest_OR/Page_Amazon Sign-In/inputsignInSubmit""))",Chrome 121.0.0.0,,,24-01-2024 19:43:32,24-01-2024 19:43:32,0.504s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,24-01-2024 19:43:32,24-01-2024 19:43:32,0.380s,PASSED
,,,,,,,
Test Cases/TC_Amazon_Login_002,Chrome 121.0.0.0,,,24-01-2024 19:43:32,24-01-2024 19:43:54,21.755s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,24-01-2024 19:43:33,24-01-2024 19:43:33,0.958s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,24-01-2024 19:43:33,24-01-2024 19:43:43,9.349s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_data_DrivenTest_OR/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Chrome 121.0.0.0,,,24-01-2024 19:43:43,24-01-2024 19:43:48,5.253s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Login_data_DrivenTest_OR/Page_Amazon Sign-In/input_email""), Email)",Chrome 121.0.0.0,,,24-01-2024 19:43:48,24-01-2024 19:43:50,1.519s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_data_DrivenTest_OR/Page_Amazon Sign-In/inputcontinue""))",Chrome 121.0.0.0,,,24-01-2024 19:43:50,24-01-2024 19:43:53,2.981s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_Login_data_DrivenTest_OR/Page_Amazon Sign-In/input_password""), Password)",Chrome 121.0.0.0,,,24-01-2024 19:43:53,24-01-2024 19:43:53,0.885s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_data_DrivenTest_OR/Page_Amazon Sign-In/inputsignInSubmit""))",Chrome 121.0.0.0,,,24-01-2024 19:43:53,24-01-2024 19:43:54,0.488s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,24-01-2024 19:43:54,24-01-2024 19:43:54,0.278s,PASSED
