Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Registration_TS,Chrome 121.0.0.0,,,24-01-2024 20:44:40,24-01-2024 20:45:02,21.786s,PASSED
,,,,,,,
Test Cases/TC_Amazon_Registration_005,Chrome 121.0.0.0,,,24-01-2024 20:44:41,24-01-2024 20:45:02,21.638s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,24-01-2024 20:44:41,24-01-2024 20:44:42,1.522s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,24-01-2024 20:44:42,24-01-2024 20:44:50,7.475s,PASSED
"click(findTestObject(""Object Repository/Amazon_Registration_OR/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Chrome 121.0.0.0,,,24-01-2024 20:44:50,24-01-2024 20:44:55,5.437s,PASSED
"click(findTestObject(""Object Repository/Amazon_Registration_OR/Page_Amazon Sign-In/a_Create your Amazon account""))",Chrome 121.0.0.0,,,24-01-2024 20:44:55,24-01-2024 20:44:57,1.902s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Registration_OR/Page_Amazon Registration/input_customerName""), ""Rohan"")",Chrome 121.0.0.0,,,24-01-2024 20:44:57,24-01-2024 20:44:59,1.433s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Registration_OR/Page_Amazon Registration/input_email""), ""kotar91449@trackden.com"")",Chrome 121.0.0.0,,,24-01-2024 20:44:59,24-01-2024 20:44:59,0.644s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_Registration_OR/Page_Amazon Registration/input_password""), ""aeHFOx8jV/A="")",Chrome 121.0.0.0,,,24-01-2024 20:44:59,24-01-2024 20:45:00,0.385s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_Registration_OR/Page_Amazon Registration/input_passwordCheck""), ""aeHFOx8jV/A="")",Chrome 121.0.0.0,,,24-01-2024 20:45:00,24-01-2024 20:45:00,0.617s,PASSED
"click(findTestObject(""Object Repository/Amazon_Registration_OR/Page_Amazon Registration/inputcontinue""))",Chrome 121.0.0.0,,,24-01-2024 20:45:00,24-01-2024 20:45:02,1.787s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,24-01-2024 20:45:02,24-01-2024 20:45:02,0.226s,PASSED
