Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Setup_Teardown_TS,Chrome 121.0.0.0,,,24-01-2024 21:19:19,24-01-2024 21:20:20,1m - 0.509s,PASSED
,,,,,,,
Test Cases/TC_Amazon_Login_008,Chrome 121.0.0.0,,,24-01-2024 21:19:36,24-01-2024 21:19:53,16.978s,PASSED
"click(findTestObject(""Object Repository/Amazon_SAT_Login_searchitem_OR/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Chrome 121.0.0.0,,,24-01-2024 21:19:36,24-01-2024 21:19:44,8.291s,PASSED
"setText(findTestObject(""Object Repository/Amazon_SAT_Login_searchitem_OR/Page_Amazon Sign-In/input_email""), ""bhritik39@gmail.com"")",Chrome 121.0.0.0,,,24-01-2024 21:19:44,24-01-2024 21:19:45,0.990s,PASSED
"click(findTestObject(""Object Repository/Amazon_SAT_Login_searchitem_OR/Page_Amazon Sign-In/inputcontinue""))",Chrome 121.0.0.0,,,24-01-2024 21:19:45,24-01-2024 21:19:52,6.670s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_SAT_Login_searchitem_OR/Page_Amazon Sign-In/input_password""), ""aeHFOx8jV/A="")",Chrome 121.0.0.0,,,24-01-2024 21:19:52,24-01-2024 21:19:52,0.570s,PASSED
"click(findTestObject(""Object Repository/Amazon_SAT_Login_searchitem_OR/Page_Amazon Sign-In/inputsignInSubmit""))",Chrome 121.0.0.0,,,24-01-2024 21:19:52,24-01-2024 21:19:53,0.339s,PASSED
,,,,,,,
Test Cases/TC_Amazon_SearchItem_008,Chrome 121.0.0.0,,,24-01-2024 21:19:53,24-01-2024 21:20:20,27.028s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_SAT_Login_searchitem_OR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), ""search-alias=computers-intl-ship"", true)",Chrome 121.0.0.0,,,24-01-2024 21:19:53,24-01-2024 21:20:07,13.878s,PASSED
"setText(findTestObject(""Object Repository/Amazon_SAT_Login_searchitem_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), ""Hp"")",Chrome 121.0.0.0,,,24-01-2024 21:20:07,24-01-2024 21:20:09,2.207s,PASSED
"click(findTestObject(""Object Repository/Amazon_SAT_Login_searchitem_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,24-01-2024 21:20:09,24-01-2024 21:20:20,10.884s,PASSED
