Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_searchItem_TS,Chrome 121.0.0.0,,,24-01-2024 20:26:31,24-01-2024 20:30:29,3m - 58.394s,PASSED
,,,,,,,
Test Cases/TC_Amazon_SearchBar_003,Chrome 121.0.0.0,,,24-01-2024 20:26:31,24-01-2024 20:28:42,2m - 10.935s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,24-01-2024 20:26:31,24-01-2024 20:26:33,1.448s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,24-01-2024 20:26:33,24-01-2024 20:26:42,9.635s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_SearchBar_OR/Page_Amazon.com. Spend less. Smile more/categorySelect""), category, true)",Chrome 121.0.0.0,,,24-01-2024 20:26:42,24-01-2024 20:27:15,32.338s,PASSED
"setText(findTestObject(""Object Repository/Amazon_SearchBar_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), item)",Chrome 121.0.0.0,,,24-01-2024 20:27:15,24-01-2024 20:27:17,2.674s,PASSED
"click(findTestObject(""Object Repository/Amazon_SearchBar_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,24-01-2024 20:27:17,24-01-2024 20:28:42,1m - 24.434s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,24-01-2024 20:28:42,24-01-2024 20:28:42,0.168s,PASSED
,,,,,,,
Test Cases/TC_Amazon_SearchBar_003,Chrome 121.0.0.0,,,24-01-2024 20:28:42,24-01-2024 20:29:17,34.617s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,24-01-2024 20:28:42,24-01-2024 20:28:43,0.663s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,24-01-2024 20:28:43,24-01-2024 20:28:51,8.085s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_SearchBar_OR/Page_Amazon.com. Spend less. Smile more/categorySelect""), category, true)",Chrome 121.0.0.0,,,24-01-2024 20:28:51,24-01-2024 20:28:54,3.737s,PASSED
"setText(findTestObject(""Object Repository/Amazon_SearchBar_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), item)",Chrome 121.0.0.0,,,24-01-2024 20:28:54,24-01-2024 20:28:56,1.270s,PASSED
"click(findTestObject(""Object Repository/Amazon_SearchBar_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,24-01-2024 20:28:56,24-01-2024 20:29:16,20.673s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,24-01-2024 20:29:16,24-01-2024 20:29:17,0.170s,PASSED
,,,,,,,
Test Cases/TC_Amazon_SearchBar_003,Chrome 121.0.0.0,,,24-01-2024 20:29:17,24-01-2024 20:30:00,43.321s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,24-01-2024 20:29:17,24-01-2024 20:29:17,0.617s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,24-01-2024 20:29:17,24-01-2024 20:29:33,15.550s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_SearchBar_OR/Page_Amazon.com. Spend less. Smile more/categorySelect""), category, true)",Chrome 121.0.0.0,,,24-01-2024 20:29:33,24-01-2024 20:29:35,2.727s,PASSED
"setText(findTestObject(""Object Repository/Amazon_SearchBar_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), item)",Chrome 121.0.0.0,,,24-01-2024 20:29:35,24-01-2024 20:29:38,2.054s,PASSED
"click(findTestObject(""Object Repository/Amazon_SearchBar_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,24-01-2024 20:29:38,24-01-2024 20:30:00,22.222s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,24-01-2024 20:30:00,24-01-2024 20:30:00,0.137s,PASSED
,,,,,,,
Test Cases/TC_Amazon_SearchBar_003,Chrome 121.0.0.0,,,24-01-2024 20:30:11,24-01-2024 20:30:29,18.475s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,24-01-2024 20:30:11,24-01-2024 20:30:11,0.724s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,24-01-2024 20:30:11,24-01-2024 20:30:14,3.082s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_SearchBar_OR/Page_Amazon.com. Spend less. Smile more/categorySelect""), category, true)",Chrome 121.0.0.0,,,24-01-2024 20:30:14,24-01-2024 20:30:23,8.292s,PASSED
"setText(findTestObject(""Object Repository/Amazon_SearchBar_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), item)",Chrome 121.0.0.0,,,24-01-2024 20:30:23,24-01-2024 20:30:24,1.011s,PASSED
"click(findTestObject(""Object Repository/Amazon_SearchBar_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,24-01-2024 20:30:24,24-01-2024 20:30:29,5.214s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,24-01-2024 20:30:29,24-01-2024 20:30:29,0.140s,PASSED
